Name,University,Website
Ajit Rajwade,IIT Bombay,
Amit Awekar,IIT G,http://www.iitg.ernet.in/awekar/
Amitabha Bagchi,IIT Delhi,http://www.cse.iitd.ac.in/~bagchi/
Amitabha Mukerjee,IIT Kanpur,
Anirban Dasgupta,IIT Gandhinagar,https://sites.google.com/site/anirbandasgupta/
Anoop M. Namboodiri,IIIT H,http://faculty.iiit.ac.in/~anoop/
Arjun Jain,IIT B,http://cs.nyu.edu/~ajain
Arnab Bhattacharya,IIT Kanpur,
Ashish Anand,IIT G,http://www.iitg.ernet.in/anand.ashish/
Avinash Sharma,IIIT H,https://researchweb.iiit.ac.in/~avinash_s/resume.html
Balaraman Ravindran,IIT Madras,http://www.cse.iitm.ac.in/~ravi/
C V Jawahar,IIIT H,http://faculty.iiit.ac.in/~jawahar/
Chetan Arora,IIIT Delhi,
Chiranjib Bhattacharyya,IISc,http://drona.csa.iisc.ernet.in/~chiru/
"Deepak Khemani ,",IIT Madras,
Ganesh Ramakrishnan,IIT Bombay,http://www.cse.iitb.ac.in/~ganesh/
Harish Karnick,IIT Kanpur,https://dblp.uni-trier.de/pers/hd/k/Karnick:Harish
Kishore S. Prahallad,IIIT H,http://faculty.iiit.ac.in/~kishore
M. Narasimha Murty,IISc,
Manish Shrivastava,IIIT H,http://www.iiit.ac.in/people/faculty/m.shrivastava
Mausam,IIT Delhi,http://homes.cs.washington.edu/~mausam/
Maya Ramanath,IIT Delhi,http://www.cse.iitd.ac.in/~ramanath/Site/About_me.html
Mayank Vatsa,IIIT Delhi,
Pabitra Mitra,IIT Kgp,
Parag Singla,IIT Delhi,http://www.cse.iitd.ac.in/~parags/
Partha Talukdar,IISc,http://talukdar.net/
Piyush Rai,IIT Kanpur,https://www.cse.iitk.ac.in/users/piyush/
Purshottam Kar,IIT Kanpur,https://www.cse.iitk.ac.in/users/purushot/
Pushpak Bhattacharyya,IIT Bombay,
Richa Singh,IIIT Delhi,
Saket Anand,IIIT Delhi,
Saketha Nath Jagarlapudi,IIT Bombay,
Sanasam Ranbir Singh,IIT G,http://www.iitg.ernet.in/ranbir/
Shivani Agarwal,IISc,http://www.csa.iisc.ernet.in/~shivani/
Soumen Chakrabarti,IIT Bombay,
Sunita Sarawagi,IIT Bombay,
Suryakanth V Gangashetty,IIIT H,http://www.iiit.ac.in/people/faculty/svg
Sutanu Chakraborty,IIT Madras,
Suyash Awate,IIT Bombay,
Vinay Namboodiri,IIT Kanpur,https://www.cse.iitk.ac.in/users/vinaypn/
Vineeth N Balasubramanian,IIT H,https://www.iith.ac.in/~vineethnb/index.html
Vadlamani Ravi,IDRBT,http://www.idrbt.ac.in/vravi.html
